image_name,article_title,article_url
Celebrating_Women_in_Science__Sari_Blakeley.png,Celebrating Women in Science: Sari Blakeley,https://iri.columbia.edu/news/celebrating-women-in-science-sari-blakeley/
Crowdsourcing_to_Build_Better_Insurance.jpeg,Crowdsourcing to Build Better Insurance,https://iri.columbia.edu/news/crowdsourcing-insurance/
IRI_at_COP26___Mélody_Braun_on_Why_COP_Matters.jpg,IRI at COP26 – Mélody Braun on Why COP Matters,https://iri.columbia.edu/news/iri-at-cop26-melody-braun-on-why-cop-matters/
In_New_Project__Millions_of_Farmers_Will_Help_to_I.jpg,"In New Project, Millions of Farmers Will Help to Improve Insurance Against Climate Disasters",https://iri.columbia.edu/news/in-new-project-millions-of-farmers-will-help-to-improve-insurance-against-climate-disasters/
Index_Insurance_for_Madagascar_s_Groundnut_Farmers.jpg,Index Insurance for Madagascar’s Groundnut Farmers,https://iri.columbia.edu/news/index-insurance-for-madagascars-groundnut-farmers/
Insurance_Tools_for_Climate_Adaptation__Q_A_with_R.png,Insurance Tools for Climate Adaptation: Q&A with Rahel Diro,https://iri.columbia.edu/news/insurance-tools-for-climate-adaptation-qa-with-rahel-diro/
2021_ACToday_Highlight__Helping_Provide_Insurance_.jpg,2021 ACToday Highlight: Helping Provide Insurance to a Million Smallholder Farmers,https://iri.columbia.edu/news/2021-actoday-highlight-helping-provide-insurance-to-a-million-smallholder-farmers/
Improving_Risk_Indicators__Introducing_the_Next_Ge.jpg,Improving Risk Indicators: Introducing the Next Generation Drought Index Project,https://iri.columbia.edu/news/improving-risk-indicators-introducing-the-next-generation-drought-index-project/
Climate_Risk_Insurance_for_Colombia_s_Smallholder_.jpg,Climate Risk Insurance for Colombia’s Smallholder Rice Farmers,https://iri.columbia.edu/news/climate-risk-insurance-for-colombias-smallholder-rice-farmers/
ACToday_Experts_Take_Part_in_Panel_on_Climate_and_.png,ACToday Experts Take Part in Panel on Climate and Food Security,https://iri.columbia.edu/news/actoday-experts-take-part-in-panel-on-climate-and-food-security/
ACToday_Columbia_World_Project_enabling_insurance_.jpg,ACToday Columbia World Project enabling insurance to reach a million farmers in Ethiopia,https://iri.columbia.edu/news/actoday-enabling-insurance-to-reach-a-million-farmers-in-ethiopia/
IRI_AGU__Crossing_the__Predictability_Desert.jpg,IRI@AGU: Crossing the ‘Predictability Desert’,https://iri.columbia.edu/news/crossing-the-predictability-desert/
IRI_AGU__Schedule_of_Events_2019.jpg,IRI@AGU: Schedule of Events 2019,https://iri.columbia.edu/news/iri-agu-2019/
IRI_AGU__Focusing_on_Floods.png,IRI@AGU: Focusing on Floods,https://iri.columbia.edu/news/focusing-on-floods/
ACToday_Q_A__J._Nicolás_Hernandez-Aguilera_on_Coff.jpg,ACToday Q&A: J. Nicolás Hernandez-Aguilera on Coffee and Climate,https://iri.columbia.edu/news/actoday-nicolas-coffee-and-climate/
IRI_AGU__Lessening_the_Impacts_of_Climate_Shocks_t.jpg,IRI@AGU: Lessening the Impacts of Climate Shocks to Agriculture,https://iri.columbia.edu/news/iri-agu-lessening-the-impacts-of-climate-shocks-to-agriculture/
IRI_AGU__Farmers__Perceptions_as_Data.jpg,IRI@AGU: Farmers’ Perceptions as Data,https://iri.columbia.edu/news/iri-agu-farmer-perceptions-as-data/
IRI_AGU__Schedule_of_Events_2018.jpg,IRI@AGU: Schedule of Events 2018,https://iri.columbia.edu/news/iri-agu-schedule-of-events-2018/
After_Ten_Years_of_Index_Insurance__What_s_Next.png,"After Ten Years of Index Insurance, What’s Next?",https://iri.columbia.edu/news/after-ten-years-of-index-insurance-whats-next/
Upping_Our_Game__Crop_Insurance_Project_Proves_Wil.jpg,Upping Our Game: Crop Insurance Project Proves Wildly Successful,https://iri.columbia.edu/news/upping-our-game/
The_Big_Idea__Farsighted_Forecasts.jpg,The Big Idea: Farsighted Forecasts,https://iri.columbia.edu/news/the-big-idea-farsighted-forecasts/
IRI_AGU__Schedule_of_Events_2017.jpg,IRI@AGU: Schedule of Events 2017,https://iri.columbia.edu/news/iri-agu-schedule-of-events-2017/
New_Climate_Data_Transforms_Insurance_Projects_in_.jpg,New Climate Data Transforms Insurance Projects in Africa,https://iri.columbia.edu/news/enacts-transforms-insurance-projects-in-africa/
Financial_Instruments_Sector_Team_Launches_New__Tr.png,Financial Instruments Sector Team Launches New “Trade Blog”,https://iri.columbia.edu/news/financial-instruments-sector-team-launches-new-trade-blog/
IRI_AGU__Schedule_of_Events_2016.jpg,IRI@AGU: Schedule of Events 2016,https://iri.columbia.edu/news/iri-agu-schedule-of-events-2016/
New_Climate_Data_in_Zambia_Unlocks_Insurance_Oppor.jpg,New Climate Data in Zambia Unlocks Insurance Opportunities,https://iri.columbia.edu/news/new-climate-data-in-zambia-unlocks-insurance-opportunities/
Remote_Sensing_and_Index_Insurance__Finding_a_Comm.jpg,Remote Sensing and Index Insurance: Finding a Common Language,https://iri.columbia.edu/news/remote-sensing-and-index-insurance-finding-a-common-language/
El_Niño_2015_Conference_Report.png,El Niño 2015 Conference Report,https://iri.columbia.edu/news/el-nino-2015-conference-report/
Farmers_receive_insurance_payouts_in_Senegal.jpg,Farmers receive insurance payouts in Senegal,https://iri.columbia.edu/news/farmers-receive-insurance-payouts-in-senegal/
VIDEO__What_tools_do_Honduran_farmers_want_for_cli.jpg,VIDEO: What tools do Honduran farmers want for climate risk?,https://iri.columbia.edu/news/video-what-tools-do-honduran-farmers-want-for-climate-risk/
Cuáles_herramientas_quieren_los_productores_hondur.jpg,¿Cuáles herramientas quieren los productores hondureños para el riesgo climático?,https://iri.columbia.edu/news/cuales-herramientas-quieren-los-productores-hondurenos-para-el-riesgo-climatico/
IRI_AGU__Schedule_of_Events_2015.jpg,IRI@AGU: Schedule of Events 2015,https://iri.columbia.edu/news/iri-agu-schedule-of-events-2015/
Climate_Resilience__Animation.png,Climate Resilience (Animation),https://iri.columbia.edu/news/cr_animation/
IRI___Climate_Week_NYC_2015.gif,IRI @ Climate Week NYC 2015,https://iri.columbia.edu/news/iri-climate-week-nyc-2015/
VIDEOS__A_Host_of_Visitors.png,VIDEOS: A Host of Visitors,https://iri.columbia.edu/news/videos-a-host-of-visitors/
New_Study_Proves_Weather-Based_Index_Insurance_Can.jpg,New Study Proves Weather-Based Index Insurance Can Work For Rural Poor on Large Scale,https://iri.columbia.edu/news/new-study-proves-weather-based-index-insurance-can-work-for-rural-poor-on-large-scale/
VIDEO__Designing_Insurance_with_Dominican_Dairy_Pr.jpg,VIDEO: Designing Insurance with Dominican Dairy Producers,https://iri.columbia.edu/news/designing-insurance-with-dominican-dairy-producers/
IRI_AGU__Schedule_of_Events.jpg,IRI@AGU: Schedule of Events,https://iri.columbia.edu/news/iri-agu-schedule-of-events-2014/
Insurance_and_Adaptation__Farmer_Driven_Opportunit.jpg,Insurance and Adaptation: Farmer Driven Opportunities (Video),https://iri.columbia.edu/news/insurance-and-adaptation-farmer-driven-opportunities/
Climate_Week_Panel__Building_Innovative_Index_Insu.jpg,Climate Week Panel: Building Innovative Index Insurance Markets,https://iri.columbia.edu/news/first-climate-week-panel-to-focus-on-building-innovative-index-insurance-markets-in-developing-countries/
Join_us_for_Climate_Week_NYC_2014.gif,Join us for Climate Week NYC 2014,https://iri.columbia.edu/news/climate-week-2014-iri-events/
Drought_Insurance_for_Ganaderos_in_the_Dominican_R.jpg,Drought Insurance for Ganaderos in the Dominican Republic,https://iri.columbia.edu/news/development-of-drought-relief-tools-in-the-northwestern-dominican-republic/
Factsheet__Climate-Resilient_Farming.png,Factsheet: Climate-Resilient Farming,https://iri.columbia.edu/news/climate-resilient-farming/
Seeing_More_with_Satellites__Improving_Insurance_f.jpg,Seeing More with Satellites: Improving Insurance for African Farmers,https://iri.columbia.edu/news/seeing-more-with-satellites-improving-insurance-for-african-farmers/
Online_Crop_Calendar_Helps_Indonesian_Government_M.jpg,Online Crop Calendar Helps Indonesian Government Manage Climate Risk,https://iri.columbia.edu/news/online-cropping-calendar-helps-government-manage-climate-risk-indonesia/
Insuring_37_000_Rwandan_Farmers_Against_Drought.jpg,"Insuring 37,000 Rwandan Farmers Against Drought",https://iri.columbia.edu/news/insuring-37000-rwandan-farmers-against-drought/
An_Index_Insurance_Primer.jpg,An Index Insurance Primer,https://iri.columbia.edu/news/an-index-insurance-primer-2/
Poor_Ethiopian_Farmers_Receive__Unprecedented__Ins.png,Poor Ethiopian Farmers Receive “Unprecedented” Insurance Payout,https://iri.columbia.edu/news/poor-ethiopian-farmers-receive-unprecedented-insurance-payout/
Leaders_in_index_insurance_expand_their_commitment.jpg,Leaders in index insurance expand their commitments in Ethiopia,https://iri.columbia.edu/news/leaders-in-index-insurance-expand-their-commitments-in-ethiopia/
Index_insurance_for_development_and_disaster_manag.jpg,Index insurance for development and disaster management,https://iri.columbia.edu/news/index-insurance-for-development-and-disaster-management/
