url,publisher,published_year,published_month,authors,journal,volume,issue
"<a href=""https://fist.iri.columbia.edu/publications/docs/BetterIndexesZambia/"">Better Indexes: Farmer Input, Local Design Breakthroughs in Zambia</a>",IRI,2024,6,IRI Financial Instruments Team,,,
"<a href=""https://fist.iri.columbia.edu/publications/docs/zambia_fisp_yieldaudit_2023/"">Zambia FISP &#8211; Index Insurance Basis Risk Fund Design Proposal</a>",,2023,6,IRI Financial Instruments Team,,,
"<a href=""http://hdl.handle.net/10.1016/j.jaridenv.2022.104928"">The long-term impact of multi-season droughts on livestock holdings and Pastoralist decision-making in Marsabit, Kenya</a>",Elsevier,2004,4,"Max Mauerman<br />
Carson Rossa<br />
Elisabeth Ilboudo Nébié<br />
Weston Anderson<br />
Nathan Jensen<br />
Philemon Chelanga",Journal of Arid Environments,211,104928
"<a href=""http://hdl.handle.net/10.1109/JSTARS.2023.3244098"">A Framework to Assess Remote Sensing Algorithms for Satellite-Based Flood Index Insurance</a>",IEEE,2023,4,"Mitchell Thomas<br />
Elizabeth Tellman<br />
Daniel E. Osgood<br />
Ben DeVries<br />
Akm Saiful Islam<br />
Michael S. Steckler<br />
Maxwell Goodman<br />
Maruf Billah", IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,16,
"<a href=""http://hdl.handle.net/10.1175/WCAS-D-22-0019.1"">An Information-Theoretic Approach to Reconciling Historical Climate Observations and Impacts on Agriculture</a>",AMS,2022,10,"Max Mauerman<br />
Emily Black<br />
Victoria L. Boult<br />
Rahel Diro<br />
Dan Osgood<br />
Helen Greatrex<br />
Thabbie Chillongo","Weather, Climate and Society",,
"<a href=""http://hdl.handle.net/10.1007/978-3-030-95722-3_10"">High-Quality Historical Flood Data Reconstruction in Bangladesh Using Hidden Markov Models</a>",Springer,2022,3,"Max Mauerman<br />
Elizabeth Tellman<br />
Upmanu Lall<br />
Marco Tedesco<br />
Paolo Colosio<br />
Mitchell Thomas<br />
Daniel Osgood<br />
Arifuzzaman Bhuyan ",,,
"<a href=""https://fist.iri.columbia.edu/publications/docs/Forecasts4Action/"">Can we use forecasts to prepare for disasters?</a>",IRI,2022,2,IRI Financial Instruments Team,,,
"<a href=""http://hdl.handle.net/10.1016/j.crm.2022.100399"">Impact pathways from climate services to SDG2 (“zero hunger”): A synthesis of evidence</a>",ScienceDirect,2022,1,"James Hansen<br />
Geneva List<br />
Shauna Downs<br />
Edward R. Carr<br />
Rahel Diro<br />
Walter Baethgen<br />
Andrew Kruczkiewicz<br />
Melody Braun<br />
John Furlow<br />
Kayla Walsh<br />
Nitin Magima",Climate Risk Management,35,100399
"<a href=""http://hdl.handle.net/10.1007/978-3-030-82774-8_5"">Widening the Scope of Disaster Preparedness in the Caribbean: Building Resilience Through Improving Climate Information</a>","Springer, Cham.",2021,10,"Dookie D.S.<br />
Osgood D.E.",Small Island Developing States. The World of Small States,9,
"<a href=""https://iri.columbia.edu/wp-content/uploads/2021/08/Vietnam-IRI-ACToday-Fundamentals-of-Index-Insurance-Workshop-Report.pdf"">Workshop Report:  ACToday Vietnam &#8211; Fundamentals of Index Insurance Course, March 2020</a>",IRI,2021,07,"Timm, Benjamin",,,
"<a href=""https://fist.iri.columbia.edu/publications/docs/zambiaFISPindexdesign2021/"">Zambia FISP &#8211; Proposed Indexes Report, 2021/22</a>",IRI,2021,7,IRI Financial Instruments Team,,,
"<a href=""http://hdl.handle.net/https://doi.org/10.1038/s41893-020-00679-y"">Supporting interdisciplinary careers for sustainability</a>",Nature,2021,01,"J. Nicolas Hernandez-Aguilera<br />
Weston Anderson<br />
Allison L. Bridges<br />
M. Pilar Fernandez<br />
Winslow D. Hansen<br />
Megan L. Maurer<br />
Elisabeth K. Ilboudo Nébié<br />
Andy Stock",Nat Sustain,,
"<a href=""https://ssrn.com/abstract=3759941"">Rainy Days on Mondays: Storm Proxies, Human Actions and Disaster Outcomes in the Caribbean</a>",SSRN,2020,12,"Denyse S. Dookie<br />
Daniel Osgood",,,
"<a href=""http://hdl.handle.net/10.1016/j.worlddev.2020.105074"">Effects of input vouchers and rainfall insurance on agricultural production and household welfare: Experimental evidence from northern Ethiopia</a>",Elsevier,2020,11,"Ho Lun Wong<br />
Xiangdong Wei<br />
Haftom Bayray Kahsay<br />
Zenebe Gebreegziabher<br />
Cornelis Gardebroek<br />
Daniel E. Osgood<br />
Rahel Diro",World Development,135,105074
"<a href=""http://hdl.handle.net/10.3390/g11040047"">Games and Fieldwork in Agriculture: A Systematic Review of the 21st Century in Economics and Social Science</a>",,2020,10,"Hernandez- Aguilera, J.N.; <br />
Mauerman, <br />
M.; Herrera, A.; <br />
Vasilaky, K.; <br />
Baethgen, W.; <br />
Loboguerrero, A.M.; <br />
Diro, R.; <br />
Tesfamariam, Y.; <br />
Osgood, D.",Games,11,
"<a href=""http://hdl.handle.net/10.1007/s10584-020-02878-0"">Why predict climate hazards if we need to understand impacts? Putting humans back into the drought equation</a>",Springer,2020,10,"M. Enenkel<br />
M.E. Brown<br />
J.V. Vogt<br />
J.L. McCarty<br />
A. Reid Bell<br />
D. Guha-Sapir<br />
W. Dorigo<br />
K. Vasilaky<br />
M. Svoboda<br />
R. Bonifacio<br />
M. Anderson<br />
C. Fund<br />
D. Osgood<br />
C. Hain<br />
P. Vinck",Climatic Change,2020,
"<a href=""http://hdl.handle.net/10.3390/rs12152432"">Identifying Precipitation and Reference Evapotranspiration Trends in West Africa to Support Drought Insurance</a>",,2020,7,"Blakeley, S.L.<br />
Sweeney, S.<br />
Husak, G.<br />
Harrison, L.<br />
Funk, C.<br />
Peterson, P.<br />
Osgood, D.E.",Remote Sens.,,Earth Observation for Index Insurance
"<a href=""http://hdl.handle.net/10.2139/ssrn.3639580"">Playing to Adapt: Crowdsourcing Historical Climate Data with Gamification to Improve Farmer&#8217;s Risk Management Instruments</a>",SSRN,2020,6,"J. Nicolas Hernandez-Aguilera<br />
Mauerman, Max<br />
Osgood, Daniel",SSRN,"June 30, 2020",
"<a href=""http://hdl.handle.net/10.3390/g11010015"">Perceptions of Farm Size Heterogeneity and Demand for Group Index Insurance</a>",MDPI,2020,3,"Vasilaky, K.<br />
Sáenz, S.M.<br />
Stanimirova, R.<br />
Osgood, D.",Games,11,2020
"<a href=""http://hdl.handle.net/10.1002/met.1790"">Can disaster events reporting be used to drive remote sensing applications? A Latin America weather index insurancecase study</a>",,2019,3,"Manuel Brahm<br />
Daniel Vila<br />
Sofia Martinez Saenz<br />
Daniel Osgood",Meteorological Applications,,
"<a href=""http://hdl.handle.net/10.1080/00220388.2018.1554207"">Can Education Unlock Scale? The Demand Impact of Educational Games on a Large-Scale Unsubsidised Index Insurance Programme in Ethiopia</a>",Taylor & Francis Group,2019,1,"Kathryn Vasilaky<br />
Rahel Diro <br />
Michael Norton<br />
Geoff McCarney<br />
Daniel Osgood",The Journal of development studies,,
